"name_data","gross_data","prod_data","release_data","perc_return","days_since_jan_1"
"Avatar",2787965087,2.37e+08,2009-12-18,1176.35657679325,351
"Titanic",2187463944,2e+08,1997-12-19,1093.731972,352
"Star Wars:The Force Awakens",2068223624,2.45e+08,2015-12-18,844.172907755102,351
"Jurassic World",1671713208,1.5e+08,2015-06-12,1114.475472,162
"Marvel's The Avengers",1518812988,2.2e+08,2012-05-04,690.36954,124
"Furious 7",1516045911,1.9e+08,2015-04-03,797.918900526316,92
"Avengers:Age of Ultron",1405403694,2.5e+08,2015-05-01,562.1614776,120
"Frozen",1276480335,1.5e+08,2013-11-22,850.98689,325
"Beauty and the Beast (2017)",1263521126,1.6e+08,2017-03-17,789.70070375,75
"The Fate of the Furious",1236005118,2.5e+08,2017-04-14,494.4020472,103
"Iron Man 3",1214811252,2e+08,2013-05-03,607.405626,122
"Minions",1159398397,7.4e+07,2015-07-10,1566.75459054054,190
"Captain America:Civil War",1153304495,2.5e+08,2016-05-06,461.321798,126
"Transformers:Dark of the Moon",1123794079,1.95e+08,2011-06-29,576.304655897436,179
"The Lord of the Rings:The Return of the King",1119929521,9.4e+07,2003-12-17,1191.41438404255,350
"Skyfall",1108561013,2e+08,2012-11-09,554.2805065,313
"Transformers:Age of Extinction",1104054072,2.1e+08,2014-06-27,525.740034285714,177
"The Dark Knight Rises",1084939099,2.5e+08,2012-07-20,433.9756396,201
"Toy Story 3",1066969703,2e+08,2010-06-18,533.4848515,168
"Pirates of the Caribbean:Dead Man's Chest",1066179725,2.25e+08,2006-07-07,473.857655555556,187
"Rogue One:A Star Wars Story",1056057273,2e+08,2016-12-16,528.0286365,350
"Pirates of the Caribbean:On Stranger Tides",1045713802,2.5e+08,2011-05-20,418.2855208,139
"Despicable Me 3",1034799409,8e+07,2017-06-30,1293.49926125,180
"Jurassic Park",1029153882,6.3e+07,1993-06-11,1633.57759047619,161
"Star Wars:Episode I - The Phantom Menace",1027044677,1.15e+08,1999-05-19,893.082327826087,138
"Alice in Wonderland (2010)",1025467110,2e+08,2010-03-05,512.733555,63
"The Dark Knight",1004558444,1.85e+08,2008-07-18,543.004564324324,199
"Harry Potter and the Sorcerer's Stone",974755371,1.25e+08,2001-11-16,779.8042968,319
"Despicable Me 2",970761885,7.6e+07,2013-07-03,1277.31826973684,183
"The Lion King",968483777,4.5e+07,1994-06-15,2152.18617111111,165
"The Jungle Book (2016)",966550600,1.75e+08,2016-04-15,552.314628571429,105
"Pirates of the Caribbean:At World's End",963420425,3e+08,2007-05-25,321.140141666667,144
"Jumanji:Welcome to the Jungle",957721136,9e+07,2017-12-20,1064.13459555556,353
"Finding Nemo",940335536,9.4e+07,2003-05-30,1000.35695319149,149
"Harry Potter and the Order of the Phoenix",939885929,1.5e+08,2007-07-11,626.590619333333,191
"Harry Potter and the Half-Blood Prince",934416487,2.5e+08,2009-07-15,373.7665948,195
"The Lord of the Rings:The Two Towers",926047111,9.4e+07,2002-12-18,985.15650106383,351
"Shrek 2",919838758,1.5e+08,2004-05-19,613.225838666667,139
"Harry Potter and the Goblet of Fire",896911078,1.5e+08,2005-11-18,597.940718666667,321
"Spider-Man 3",890871626,2.58e+08,2007-05-04,345.299079844961,123
"Ice Age:Dawn of the Dinosaurs",886686817,9e+07,2009-07-01,985.207574444444,181
"Spectre",880674609,2.45e+08,2015-11-06,359.459024081633,309
"Spider-Man:Homecoming",880166924,1.75e+08,2017-07-07,502.952528,187
"Harry Potter and the Chamber of Secrets",878979634,1e+08,2002-11-15,878.979634,318
"Ice Age:Continental Drift",877244782,9.5e+07,2012-07-13,923.41556,194
"The Secret Life of Pets",875457937,7.5e+07,2016-07-08,1167.27724933333,189
